REGION,SALARY,YEAR
KALIMANTAN TIMUR,1002000,2010
SULAWESI UTARA,1000000,2010
SULAWESI TENGAH,777500,2010
SULAWESI SELATAN,1000000,2010
SULAWESI TENGGARA,860000,2010
GORONTALO,710000,2010
SULAWESI BARAT,944200,2010
MALUKU,840000,2010
MALUKU UTARA,847000,2010
PAPUA BARAT,1210000,2010
PAPUA,1316500,2010
INDONESIA,908824,2010
ACEH,1350000,2011
SUMATERA UTARA,1035500,2011
SUMATERA BARAT,1055000,2011
RIAU,1120000,2011
JAMBI,1028000,2011
SUMATERA SELATAN,1048440,2011
BENGKULU,815000,2011
LAMPUNG,855000,2011
KEP. BANGKA BELITUNG,1024000,2011
KEP. RIAU,975000,2011
DKI JAKARTA,1290000,2011
JAWA BARAT,732000,2011
JAWA TENGAH,675000,2011
DI YOGYAKARTA,808000,2011
JAWA TIMUR,705000,2011
BANTEN,1000000,2011
BALI,890000,2011
NUSA TENGGARA BARAT,950000,2011
NUSA TENGGARA TIMUR,850000,2011
KALIMANTAN BARAT,802500,2011
KALIMANTAN TENGAH,1134580,2011
KALIMANTAN SELATAN,1126000,2011
KALIMANTAN TIMUR,1084000,2011
SULAWESI UTARA,1050000,2011
SULAWESI TENGAH,827500,2011
SULAWESI SELATAN,1100000,2011
SULAWESI TENGGARA,930000,2011
GORONTALO,762500,2011
SULAWESI BARAT,1006000,2011
MALUKU,900000,2011
MALUKU UTARA,889350,2011
PAPUA BARAT,1410000,2011
PAPUA,1403000,2011
INDONESIA,988829,2011
ACEH,1400000,2012
SUMATERA UTARA,1200000,2012
SUMATERA BARAT,1150000,2012
RIAU,1238000,2012
JAMBI,1142500,2012
SUMATERA SELATAN,1195220,2012
BENGKULU,930000,2012
LAMPUNG,975000,2012
KEP. BANGKA BELITUNG,1110000,2012
KEP. RIAU,1015000,2012
DKI JAKARTA,1529150,2012
JAWA BARAT,780000,2012
JAWA TENGAH,765000,2012
DI YOGYAKARTA,892660,2012
JAWA TIMUR,745000,2012
BANTEN,1042000,2012
BALI,967500,2012
NUSA TENGGARA BARAT,1000000,2012
NUSA TENGGARA TIMUR,925000,2012
KALIMANTAN BARAT,900000,2012
KALIMANTAN TENGAH,1327459,2012
KALIMANTAN SELATAN,1225000,2012
KALIMANTAN TIMUR,1177000,2012
SULAWESI UTARA,1250000,2012
SULAWESI TENGAH,885000,2012
SULAWESI SELATAN,1200000,2012
SULAWESI TENGGARA,1032300,2012
GORONTALO,837500,2012
SULAWESI BARAT,1127000,2012
MALUKU,975000,2012
MALUKU UTARA,960498,2012
PAPUA BARAT,1450000,2012
PAPUA,1585000,2012
INDONESIA,1088903,2012
ACEH,1550000,2013
SUMATERA UTARA,1375000,2013
SUMATERA BARAT,1350000,2013
RIAU,1400000,2013
JAMBI,1300000,2013
SUMATERA SELATAN,1630000,2013
BENGKULU,1200000,2013
LAMPUNG,1150000,2013
KEP. BANGKA BELITUNG,1265000,2013
KEP. RIAU,1365087,2013
DKI JAKARTA,2200000,2013
JAWA BARAT,850000,2013
JAWA TENGAH,830000,2013
DI YOGYAKARTA,947114,2013
JAWA TIMUR,866250,2013
BANTEN,1170000,2013
BALI,1181000,2013
NUSA TENGGARA BARAT,1100000,2013
NUSA TENGGARA TIMUR,1010000,2013
KALIMANTAN BARAT,1060000,2013
KALIMANTAN TENGAH,1553127,2013
KALIMANTAN SELATAN,1337500,2013
KALIMANTAN TIMUR,1752073,2013
SULAWESI UTARA,1550000,2013
SULAWESI TENGAH,995000,2013
SULAWESI SELATAN,1440000,2013
SULAWESI TENGGARA,1125207,2013
GORONTALO,1175000,2013
SULAWESI BARAT,1165000,2013
MALUKU,1275000,2013
MALUKU UTARA,1200622,2013
PAPUA BARAT,1720000,2013
PAPUA,1710000,2013
INDONESIA,1296908,2013
ACEH,1750000,2014
SUMATERA UTARA,1505850,2014
SUMATERA BARAT,1490000,2014
RIAU,1700000,2014
JAMBI,1502300,2014
SUMATERA SELATAN,1825000,2014
BENGKULU,1350000,2014
LAMPUNG,1399037,2014
KEP. BANGKA BELITUNG,1640000,2014
KEP. RIAU,1665000,2014
DKI JAKARTA,2441000,2014
JAWA BARAT,1000000,2014
JAWA TENGAH,910000,2014
DI YOGYAKARTA,988500,2014
JAWA TIMUR,1000000,2014
BANTEN,1325000,2014
BALI,1542600,2014
NUSA TENGGARA BARAT,1210000,2014
NUSA TENGGARA TIMUR,1150000,2014
KALIMANTAN BARAT,1380000,2014
KALIMANTAN TENGAH,1723970,2014
KALIMANTAN SELATAN,1620000,2014
KALIMANTAN TIMUR,1886315,2014
SULAWESI UTARA,1900000,2014
SULAWESI TENGAH,1250000,2014
SULAWESI SELATAN,1800000,2014
SULAWESI TENGGARA,1400000,2014
GORONTALO,1325000,2014
SULAWESI BARAT,1400000,2014
MALUKU,1415000,2014
MALUKU UTARA,1440746,2014
PAPUA BARAT,1870000,2014
PAPUA,2040000,2014
INDONESIA,1584391,2014
ACEH,1900000,2015
SUMATERA UTARA,1625000,2015
SUMATERA BARAT,1615000,2015
RIAU,1878000,2015
JAMBI,1710000,2015
SUMATERA SELATAN,1974346,2015
BENGKULU,1500000,2015
LAMPUNG,1581000,2015
KEP. BANGKA BELITUNG,2100000,2015
KEP. RIAU,1954000,2015
DKI JAKARTA,2700000,2015
JAWA BARAT,1000000,2015
JAWA TENGAH,910000,2015
DI YOGYAKARTA,988500,2015
JAWA TIMUR,1000000,2015
BANTEN,1600000,2015
BALI,1621172,2015
NUSA TENGGARA BARAT,1330000,2015
NUSA TENGGARA TIMUR,1250000,2015
KALIMANTAN BARAT,1560000,2015
KALIMANTAN TENGAH,1896367,2015
KALIMANTAN SELATAN,1870000,2015
KALIMANTAN TIMUR,2026126,2015
KALIMANTAN UTARA,2026126,2015
SULAWESI UTARA,2150000,2015
SULAWESI TENGAH,1500000,2015
SULAWESI SELATAN,2000000,2015
SULAWESI TENGGARA,1652000,2015
GORONTALO,1600000,2015
SULAWESI BARAT,1655500,2015
MALUKU,1650000,2015
MALUKU UTARA,1577617,2015
PAPUA BARAT,2015000,2015
PAPUA,2193000,2015
INDONESIA,1790342,2015
ACEH,2118500,2016
SUMATERA UTARA,1811875,2016
SUMATERA BARAT,1800725,2016
RIAU,2095000,2016
JAMBI,1906650,2016
SUMATERA SELATAN,2206000,2016
BENGKULU,1605000,2016
LAMPUNG,1763000,2016
KEP. BANGKA BELITUNG,2341500,2016
KEP. RIAU,2178710,2016
DKI JAKARTA,3100000,2016
JAWA BARAT,2250000,2016
JAWA TENGAH,910000,2016
DI YOGYAKARTA,988500,2016
JAWA TIMUR,1000000,2016
BANTEN,1784000,2016
BALI,1807600,2016
NUSA TENGGARA BARAT,1482950,2016
NUSA TENGGARA TIMUR,1425000,2016
KALIMANTAN BARAT,1739400,2016
KALIMANTAN TENGAH,2057558,2016
KALIMANTAN SELATAN,2085050,2016
KALIMANTAN TIMUR,2161253,2016
KALIMANTAN UTARA,2175340,2016
SULAWESI UTARA,2400000,2016
SULAWESI TENGAH,1670000,2016
SULAWESI SELATAN,2250000,2016
SULAWESI TENGGARA,1850000,2016
GORONTALO,1875000,2016
SULAWESI BARAT,1864000,2016
MALUKU,1775000,2016
MALUKU UTARA,1681266,2016
PAPUA BARAT,2237000,2016
PAPUA,2435000,2016
INDONESIA,1997819,2016
ACEH,2500000,2017
SUMATERA UTARA,1961354,2017
SUMATERA BARAT,1949284,2017
RIAU,2266722,2017
JAMBI,2063000,2017
SUMATERA SELATAN,2388000,2017
BENGKULU,1730000,2017
LAMPUNG,1908447,2017
KEP. BANGKA BELITUNG,2534673,2017
KEP. RIAU,2358454,2017
DKI JAKARTA,3355750,2017
JAWA BARAT,1420624,2017
JAWA TENGAH,1367000,2017
DI YOGYAKARTA,1337645,2017
JAWA TIMUR,1388000,2017
BANTEN,1931180,2017
BALI,1956727,2017
NUSA TENGGARA BARAT,1631245,2017
NUSA TENGGARA TIMUR,1650000,2017
KALIMANTAN BARAT,1882900,2017
KALIMANTAN TENGAH,2222986,2017
KALIMANTAN SELATAN,2258000,2017
KALIMANTAN TIMUR,339556,2017
KALIMANTAN UTARA,2358800,2017
SULAWESI UTARA,2598000,2017
SULAWESI TENGAH,1807775,2017
SULAWESI SELATAN,2500000,2017
SULAWESI TENGGARA,2002625,2017
GORONTALO,2030000,2017
SULAWESI BARAT,2017780,2017
MALUKU,1925000,2017
MALUKU UTARA,1975000,2017
PAPUA BARAT,2416855,2017
PAPUA,2663646,2017
INDONESIA,2020500,2017
ACEH,2700000,2018
SUMATERA UTARA,2132189,2018
SUMATERA BARAT,2119067,2018
RIAU,2464154,2018
JAMBI,2243719,2018
SUMATERA SELATAN,2595995,2018
BENGKULU,1888741,2018
LAMPUNG,2074673,2018
KEP. BANGKA BELITUNG,2755444,2018
KEP. RIAU,2563875,2018
DKI JAKARTA,3648036,2018
JAWA BARAT,1544361,2018
JAWA TENGAH,1486065,2018
DI YOGYAKARTA,1454154,2018
JAWA TIMUR,1508895,2018
BANTEN,2099385,2018
BALI,2127157,2018
NUSA TENGGARA BARAT,1825000,2018
NUSA TENGGARA TIMUR,1660000,2018
KALIMANTAN BARAT,2046900,2018
KALIMANTAN TENGAH,2421305,2018
KALIMANTAN SELATAN,2454671,2018
KALIMANTAN TIMUR,2543332,2018
KALIMANTAN UTARA,2559903,2018
SULAWESI UTARA,2824286,2018
SULAWESI TENGAH,1965232,2018
SULAWESI SELATAN,2647767,2018
SULAWESI TENGGARA,2177052,2018
GORONTALO,2206813,2018
SULAWESI BARAT,2193530,2018
MALUKU,2222220,2018
MALUKU UTARA,2320803,2018
PAPUA BARAT,2667000,2018
PAPUA,3000000,2018
INDONESIA,2268874,2018
ACEH,2916810,2019
SUMATERA UTARA,2303403,2019
SUMATERA BARAT,2289220,2019
RIAU,2662026,2019
JAMBI,2423889,2019
SUMATERA SELATAN,2804453,2019
BENGKULU,2040407,2019
LAMPUNG,2241270,2019
KEP. BANGKA BELITUNG,2976706,2019
KEP. RIAU,2769754,2019
DKI JAKARTA,3940973,2019
JAWA BARAT,1668373,2019
JAWA TENGAH,1605396,2019
DI YOGYAKARTA,1570923,2019
JAWA TIMUR,1630059,2019
BANTEN,2267990,2019
BALI,2297969,2019
NUSA TENGGARA BARAT,2012610,2019
NUSA TENGGARA TIMUR,1795000,2019
KALIMANTAN BARAT,2211500,2019
KALIMANTAN TENGAH,2663435,2019
KALIMANTAN SELATAN,2651782,2019
KALIMANTAN TIMUR,2747561,2019
KALIMANTAN UTARA,2765463,2019
SULAWESI UTARA,3051076,2019
SULAWESI TENGAH,2123040,2019
SULAWESI SELATAN,2860382,2019
SULAWESI TENGGARA,2351870,2019
GORONTALO,2384020,2019
SULAWESI BARAT,2381000,2019
MALUKU,2400664,2019
MALUKU UTARA,2508091,2019
PAPUA BARAT,2934500,2019
PAPUA,3240900,2019
INDONESIA,2455662,2019
ACEH,3165031,2020
SUMATERA UTARA,2499423,2020
SUMATERA BARAT,2484041,2020
RIAU,2888564,2020
JAMBI,2630162,2020
SUMATERA SELATAN,3043111,2020
BENGKULU,2213604,2020
LAMPUNG,2432002,2020
KEP. BANGKA BELITUNG,3230024,2020
KEP. RIAU,3005460,2020
DKI JAKARTA,4276350,2020
JAWA BARAT,1810351,2020
JAWA TENGAH,1742015,2020
DI YOGYAKARTA,1704608,2020
JAWA TIMUR,1768777,2020
BANTEN,2460997,2020
BALI,2494000,2020
NUSA TENGGARA BARAT,2183883,2020
NUSA TENGGARA TIMUR,1950000,2020
KALIMANTAN BARAT,2399699,2020
KALIMANTAN TENGAH,2903145,2020
KALIMANTAN SELATAN,2877449,2020
KALIMANTAN TIMUR,2981379,2020
KALIMANTAN UTARA,3000804,2020
SULAWESI UTARA,3310723,2020
SULAWESI TENGAH,2303711,2020
SULAWESI SELATAN,3103800,2020
SULAWESI TENGGARA,2552015,2020
GORONTALO,2788826,2020
SULAWESI BARAT,2678863,2020
MALUKU,2604961,2020
MALUKU UTARA,2721530,2020
PAPUA BARAT,3134600,2020
PAPUA,3516700,2020
INDONESIA,2672371,2020
ACEH,3165031,2021
SUMATERA UTARA,2499423,2021
SUMATERA BARAT,2484041,2021
RIAU,3005460,2021
JAMBI,3230023,2021
SUMATERA SELATAN,3043111,2021
BENGKULU,2888564,2021
LAMPUNG,2432001,2021
KEP. BANGKA BELITUNG,2215000,2021
KEP. RIAU,2630162,2021
DKI JAKARTA,4416186,2021
JAWA BARAT,1810351,2021
JAWA TENGAH,1798979,2021
DI YOGYAKARTA,1765000,2021
JAWA TIMUR,1868777,2021
BANTEN,2460996,2021
BALI,2494000,2021
NUSA TENGGARA BARAT,2183883,2021
NUSA TENGGARA TIMUR,1950000,2021
KALIMANTAN BARAT,2399698,2021
KALIMANTAN TENGAH,2903144,2021
KALIMANTAN SELATAN,2877448,2021
KALIMANTAN TIMUR,2981378,2021
KALIMANTAN UTARA,3000804,2021
SULAWESI UTARA,3310723,2021
SULAWESI TENGAH,2552014,2021
SULAWESI SELATAN,3165876,2021
SULAWESI TENGGARA,2303711,2021
GORONTALO,2788826,2021
SULAWESI BARAT,2678863,2021
MALUKU,2721530,2021
MALUKU UTARA,2604961,2021
PAPUA BARAT,3134600,2021
PAPUA,3516700,2021
INDONESIA,2608093,2021
ACEH,3166460,2022
SUMATERA UTARA,2522609,2022
SUMATERA BARAT,2512539,2022
RIAU,2938564,2022
JAMBI,2649034,2022
SUMATERA SELATAN,3144446,2022
BENGKULU,2238094,2022
LAMPUNG,2440486,2022
KEP. BANGKA BELITUNG,3264881,2022
KEP. RIAU,3050172,2022
DKI JAKARTA,4452724,2022
JAWA BARAT,1841487,2022
JAWA TENGAH,1813011,2022
DI YOGYAKARTA,1840951,2022
JAWA TIMUR,1891567,2022
BANTEN,2501203,2022
BALI,2516971,2022
NUSA TENGGARA BARAT,2207212,2022
NUSA TENGGARA TIMUR,1975000,2022
KALIMANTAN BARAT,2434328,2022
KALIMANTAN TENGAH,2922516,2022
KALIMANTAN SELATAN,2906473,2022
KALIMANTAN TIMUR,3014497,2022
KALIMANTAN UTARA,3016738,2022
SULAWESI UTARA,3310723,2022
SULAWESI TENGAH,2390739,2022
SULAWESI SELATAN,3165876,2022
SULAWESI TENGGARA,2710595,2022
GORONTALO,2800580,2022
SULAWESI BARAT,2678863,2022
MALUKU,2619312,2022
MALUKU UTARA,2862231,2022
PAPUA BARAT,3200000,2022
PAPUA,3561932,2022
INDONESIA,2644709,2022
