Month,Coconut Oil Price,Coconut Oil Price Change,Olive Oil Price,Olive Oil Price Change,Palm Kernel Oil Price,Palm Kernel Oil Price Change,Palm Oil Price,Palm Oil Price Change,Peanut Oil Price,Peanut Oil Price Change,Rapeseed Oil Price,Rapeseed Oil Price Change,Soybean Oil Price,Soybean Oil Price Change,Sunflower Oil Price,Sunflower Oil Price Change
Aug 1992,494.00,-,"3,490.25",-,,,382.00,-,600.00,-,,,409.00,-,,
Sep 1992,501.00,1.42%,"3,342.78",-4.23%,,,391.00,2.36%,562.00,-6.33%,,,421.00,2.93%,,
Oct 1992,493.00,-1.60%,"2,986.24",-10.67%,,,396.00,1.28%,565.00,0.53%,,,418.00,-0.71%,,
Nov 1992,496.00,0.61%,"2,747.90",-7.98%,,,413.00,4.29%,575.00,1.77%,,,437.00,4.55%,,
Dec 1992,461.00,-7.06%,"2,793.15",1.65%,,,401.00,-2.91%,622.00,8.17%,,,436.00,-0.23%,,
Jan 1993,444.00,-3.69%,"2,757.83",-1.26%,,,410.00,2.24%,621.00,-0.16%,,,444.00,1.83%,,
Feb 1993,439.00,-1.13%,"2,587.66",-6.17%,,,425.00,3.66%,611.00,-1.61%,,,433.00,-2.48%,,
Mar 1993,427.00,-2.73%,"2,628.83",1.59%,,,408.00,-4.00%,602.00,-1.47%,,,438.00,1.15%,,
Apr 1993,402.00,-5.85%,"2,783.90",5.90%,,,392.00,-3.92%,623.00,3.49%,,,448.00,2.28%,,
May 1993,418.00,3.98%,"2,787.13",0.12%,,,371.00,-5.36%,685.00,9.95%,,,448.00,0.00%,,
Jun 1993,436.00,4.31%,"2,721.53",-2.35%,,,356.00,-4.04%,712.00,3.94%,,,461.00,2.90%,,
Jul 1993,460.00,5.50%,"2,694.24",-1.00%,,,362.00,1.69%,773.00,8.57%,,,505.00,9.54%,,
Aug 1993,455.00,-1.09%,"2,685.46",-0.33%,,,356.00,-1.66%,858.00,11.00%,,,483.00,-4.36%,,
Sep 1993,424.00,-6.81%,"2,743.60",2.16%,,,352.00,-1.12%,845.00,-1.52%,,,489.00,1.24%,,
Oct 1993,419.00,-1.18%,"2,706.44",-1.35%,,,333.00,-5.40%,807.00,-4.50%,,,491.00,0.41%,,
Nov 1993,464.00,10.74%,"2,665.22",-1.52%,,,357.00,7.21%,808.00,0.12%,,,536.00,9.16%,,
Dec 1993,615.00,32.54%,"2,681.78",0.62%,,,411.00,15.13%,924.00,14.36%,,,589.00,9.89%,,
Jan 1994,595.00,-3.25%,"2,686.82",0.19%,,,404.00,-1.70%,993.00,7.47%,,,602.00,2.21%,,
Feb 1994,573.00,-3.70%,"2,661.50",-0.94%,,,387.00,-4.21%,"1,011.00",1.81%,,,577.00,-4.15%,,
Mar 1994,539.00,-5.93%,"2,683.40",0.82%,,,395.00,2.07%,"1,013.00",0.20%,,,586.00,1.56%,,
Apr 1994,560.00,3.90%,"2,668.77",-0.55%,,,434.00,9.87%,"1,030.00",1.68%,,,584.00,-0.34%,,
May 1994,599.00,6.96%,"2,705.24",1.37%,,,488.00,12.44%,"1,020.00",-0.97%,,,594.00,1.71%,,
Jun 1994,608.00,1.50%,"2,744.46",1.45%,,,508.00,4.10%,"1,014.00",-0.59%,,,571.00,-3.87%,,
Jul 1994,579.00,-4.77%,"3,553.91",29.49%,,,494.00,-2.76%,"1,017.00",0.30%,,,560.00,-1.93%,,
Aug 1994,596.00,2.94%,"3,548.05",-0.16%,,,575.00,16.40%,"1,018.00",0.10%,,,600.00,7.14%,,
Sep 1994,622.00,4.36%,"3,596.26",1.36%,,,614.00,6.78%,"1,018.00",0.00%,,,672.00,12.00%,,
Oct 1994,621.00,-0.16%,"3,694.03",2.72%,,,616.00,0.33%,"1,029.00",1.08%,,,642.00,-4.46%,,
Nov 1994,706.00,13.69%,"3,656.24",-1.02%,,,707.00,14.77%,"1,048.00",1.85%,,,706.00,9.97%,,
Dec 1994,692.00,-1.98%,"3,587.45",-1.88%,,,719.00,1.70%,"1,062.00",1.34%,,,693.00,-1.84%,,
Jan 1995,622.00,-10.12%,"3,622.27",0.97%,,,655.00,-8.90%,"1,054.00",-0.75%,,,674.00,-2.74%,,
Feb 1995,636.00,2.25%,"3,772.18",4.14%,,,661.00,0.92%,"1,025.00",-2.75%,,,663.00,-1.63%,,
Mar 1995,632.00,-0.63%,"4,161.09",10.31%,,,687.00,3.93%,990.00,-3.41%,,,652.00,-1.66%,,
Apr 1995,619.00,-2.06%,"4,503.83",8.24%,,,625.00,-9.02%,981.00,-0.91%,,,610.00,-6.44%,,
May 1995,616.00,-0.48%,"4,446.18",-1.28%,,,611.00,-2.24%,973.00,-0.82%,,,595.00,-2.46%,,
Jun 1995,668.00,8.44%,"4,465.47",0.43%,,,631.00,3.27%,965.00,-0.82%,,,611.00,2.69%,,
Jul 1995,693.00,3.74%,"4,624.57",3.56%,,,655.00,3.80%,969.00,0.41%,,,626.00,2.45%,,
Aug 1995,686.00,-1.01%,"4,591.11",-0.72%,,,616.00,-5.95%,980.00,1.14%,,,616.00,-1.60%,,
Sep 1995,677.00,-1.31%,"4,749.52",3.45%,,,586.00,-4.87%,981.00,0.10%,,,614.00,-0.32%,,
Oct 1995,718.00,6.06%,"4,973.13",4.71%,,,615.00,4.95%,990.00,0.92%,,,638.00,3.91%,,
Nov 1995,750.00,4.46%,"5,082.29",2.20%,,,607.00,-1.30%,995.00,0.51%,,,623.00,-2.35%,,
Dec 1995,718.00,-4.27%,"5,002.53",-1.57%,,,590.00,-2.80%,988.00,-0.70%,,,579.00,-7.06%,,
Jan 1996,711.00,-0.97%,"5,509.12",10.13%,686.00,-,535.00,-9.32%,959.00,-2.94%,,,554.00,-4.32%,,
Feb 1996,738.00,3.80%,"6,067.63",10.14%,716.00,4.37%,518.00,-3.18%,925.00,-3.55%,,,548.00,-1.08%,,
Mar 1996,723.00,-2.03%,"6,032.36",-0.58%,715.00,-0.14%,519.00,0.19%,911.00,-1.51%,,,538.00,-1.82%,,
Apr 1996,756.00,4.56%,"5,909.79",-2.03%,755.00,5.59%,562.00,8.29%,895.00,-1.76%,,,582.00,8.18%,,
May 1996,778.00,2.91%,"5,906.63",-0.05%,775.00,2.65%,552.00,-1.78%,897.00,0.22%,,,591.00,1.55%,,
Jun 1996,816.00,4.88%,"6,014.78",1.83%,762.00,-1.68%,508.00,-7.97%,904.00,0.78%,,,563.00,-4.74%,,
Jul 1996,775.00,-5.02%,"5,903.83",-1.84%,734.00,-3.67%,476.00,-6.30%,902.00,-0.22%,,,549.00,-2.49%,,
Aug 1996,742.00,-4.26%,"5,811.23",-1.57%,725.00,-1.23%,513.00,7.77%,885.00,-1.88%,,,565.00,2.91%,,
Sep 1996,721.00,-2.83%,"5,925.11",1.96%,707.00,-2.48%,545.00,6.24%,879.00,-0.68%,,,569.00,0.71%,,
Oct 1996,722.00,0.14%,"6,023.87",1.67%,693.00,-1.98%,532.00,-2.39%,874.00,-0.57%,,,528.00,-7.21%,,
Nov 1996,760.00,5.26%,"6,235.91",3.52%,721.00,4.04%,550.00,3.38%,868.00,-0.69%,,,517.00,-2.08%,,
Dec 1996,777.00,2.24%,"6,241.91",0.10%,747.00,3.61%,561.00,2.00%,868.00,0.00%,,,514.00,-0.58%,,
Jan 1997,768.00,-1.16%,"6,225.94",-0.26%,754.00,0.94%,567.00,1.07%,874.00,0.69%,,,534.00,3.89%,,
Feb 1997,768.00,0.00%,"5,202.66",-16.44%,757.00,0.40%,580.00,2.29%,886.00,1.37%,,,527.00,-1.31%,,
Mar 1997,737.00,-4.04%,"4,815.96",-7.43%,730.00,-3.57%,559.00,-3.62%,896.00,1.13%,,,541.00,2.66%,,
Apr 1997,710.00,-3.66%,"4,235.24",-12.06%,705.00,-3.42%,562.00,0.54%,938.00,4.69%,,,541.00,0.00%,,
May 1997,654.00,-7.89%,"4,246.53",0.27%,668.00,-5.25%,553.00,-1.60%,981.00,4.58%,,,541.00,0.00%,,
Jun 1997,637.00,-2.60%,"3,452.36",-18.70%,635.00,-4.94%,533.00,-3.62%,"1,047.00",6.73%,,,550.00,1.66%,,
Jul 1997,597.00,-6.28%,"3,760.36",8.92%,594.00,-6.46%,498.00,-6.57%,"1,096.00",4.68%,,,535.00,-2.73%,,
Aug 1997,567.00,-5.03%,"3,607.56",-4.06%,556.00,-6.40%,504.00,1.20%,"1,093.00",-0.27%,,,544.00,1.68%,,
Sep 1997,615.00,8.47%,"3,839.11",6.42%,603.00,8.45%,525.00,4.17%,"1,083.00",-0.91%,,,555.00,2.02%,,
Oct 1997,627.00,1.95%,"3,914.95",1.98%,619.00,2.65%,547.00,4.19%,"1,083.00",0.00%,,,611.00,10.09%,,
Nov 1997,616.00,-1.75%,"3,881.83",-0.85%,611.00,-1.29%,556.00,1.65%,"1,090.00",0.65%,,,676.00,10.64%,,
Dec 1997,586.00,-4.87%,"3,655.30",-5.84%,590.00,-3.44%,566.00,1.80%,"1,058.00",-2.94%,,,622.00,-7.99%,,
Jan 1998,558.00,-4.78%,"3,475.10",-4.93%,590.00,0.00%,621.00,9.72%,"1,055.00",-0.28%,,,625.00,0.48%,,
Feb 1998,559.00,0.18%,"3,164.00",-8.95%,620.00,5.08%,659.00,6.12%,"1,029.00",-2.46%,,,634.00,1.44%,,
Mar 1998,578.00,3.40%,"3,106.16",-1.83%,605.00,-2.42%,671.00,1.82%,949.00,-7.77%,,,652.00,2.84%,,
Apr 1998,618.00,6.92%,"3,093.11",-0.42%,643.00,6.28%,688.00,2.53%,928.00,-2.21%,,,662.00,1.53%,,
May 1998,723.00,16.99%,"3,160.63",2.18%,776.00,20.68%,705.00,2.47%,900.00,-3.02%,,,671.00,1.36%,,
Jun 1998,652.00,-9.82%,"3,184.11",0.74%,700.00,-9.79%,633.00,-10.21%,891.00,-1.00%,,,629.00,-6.26%,,
Jul 1998,667.00,2.30%,"3,172.03",-0.38%,694.00,-0.86%,661.00,4.42%,874.00,-1.91%,,,612.00,-2.70%,,
Aug 1998,667.00,0.00%,"3,148.39",-0.75%,692.00,-0.29%,674.00,1.97%,862.00,-1.37%,,,592.00,-3.27%,,
Sep 1998,652.00,-2.25%,"3,293.41",4.61%,697.00,0.72%,703.00,4.30%,852.00,-1.16%,,,615.00,3.89%,,
Oct 1998,695.00,6.60%,"3,346.80",1.62%,714.00,2.44%,694.00,-1.28%,850.00,-0.23%,,,614.00,-0.16%,,
Nov 1998,752.00,8.20%,"3,281.72",-1.94%,746.00,4.48%,681.00,-1.87%,862.00,1.41%,,,614.00,0.00%,,
Dec 1998,774.00,2.93%,"3,299.12",0.53%,763.00,2.28%,663.00,-2.64%,861.00,-0.12%,,,591.00,-3.75%,,
Jan 1999,763.00,-1.42%,"3,260.92",-1.16%,744.00,-2.49%,632.00,-4.68%,952.71,10.65%,,,541.63,-8.35%,,
Feb 1999,745.00,-2.36%,"3,216.03",-1.38%,709.00,-4.70%,561.00,-11.23%,889.57,-6.63%,,,482.36,-10.94%,,
Mar 1999,700.00,-6.04%,"3,767.08",17.13%,661.00,-6.77%,497.00,-11.41%,752.45,-15.41%,,,444.36,-7.88%,,
Apr 1999,827.00,18.14%,"3,824.25",1.52%,776.00,17.40%,509.00,2.41%,663.89,-11.77%,,,442.68,-0.38%,,
May 1999,874.00,5.68%,"3,876.89",1.38%,755.00,-2.71%,475.00,-6.68%,762.17,14.80%,,,421.50,-4.78%,,
Jun 1999,796.00,-8.92%,"3,829.73",-1.22%,656.00,-13.11%,392.00,-17.47%,836.25,9.72%,,,405.88,-3.71%,,
Jul 1999,656.00,-17.59%,"3,658.97",-4.46%,571.00,-12.96%,319.00,-18.62%,859.80,2.82%,,,391.40,-3.57%,,
Aug 1999,684.00,4.27%,"3,736.30",2.11%,689.00,20.67%,354.00,10.97%,849.78,-1.17%,,,412.37,5.36%,,
Sep 1999,704.00,2.92%,"3,773.36",0.99%,710.00,3.05%,388.00,9.60%,848.78,-0.12%,,,413.93,0.38%,,
Oct 1999,690.00,-1.99%,"3,852.53",2.10%,684.00,-3.66%,381.00,-1.80%,888.15,4.64%,,,399.53,-3.48%,,
Nov 1999,703.00,1.88%,"3,709.49",-3.71%,693.00,1.32%,370.00,-2.89%,924.94,4.14%,,,387.31,-3.06%,,
Dec 1999,703.00,0.00%,"3,299.71",-11.05%,681.00,-1.73%,354.00,-4.32%,765.61,-17.23%,,,374.67,-3.26%,,
Jan 2000,654.00,-6.97%,"3,553.80",7.70%,628.00,-7.78%,348.00,-1.69%,676.08,-11.69%,,,369.79,-1.30%,,
Feb 2000,591.00,-9.63%,"3,488.13",-1.85%,580.00,-7.64%,332.00,-4.60%,687.63,1.71%,,,357.94,-3.20%,,
Mar 2000,552.00,-6.60%,"3,443.88",-1.27%,556.00,-4.14%,349.00,5.12%,733.28,6.64%,,,363.49,1.55%,,
Apr 2000,550.00,-0.36%,"3,404.10",-1.16%,557.00,0.18%,372.00,6.59%,789.81,7.71%,,,366.24,0.76%,,
May 2000,481.00,-12.55%,"3,243.64",-4.71%,483.00,-13.29%,324.00,-12.90%,793.66,0.49%,,,337.97,-7.72%,,
Jun 2000,437.00,-9.15%,"2,970.88",-8.41%,436.00,-9.73%,315.00,-2.78%,783.14,-1.33%,,,330.17,-2.31%,,
Jul 2000,400.00,-8.47%,"2,669.99",-10.13%,401.00,-8.03%,312.00,-0.95%,771.62,-1.47%,,,339.30,2.77%,,
Aug 2000,371.00,-7.25%,"2,666.90",-0.12%,366.00,-8.73%,306.00,-1.92%,754.36,-2.24%,,,328.92,-3.06%,,
Sep 2000,332.00,-10.51%,"2,567.81",-3.72%,326.00,-10.93%,288.00,-5.88%,760.59,0.83%,,,312.49,-5.00%,,
Oct 2000,340.00,2.41%,"2,598.36",1.19%,318.00,-2.45%,255.00,-11.46%,754.58,-0.79%,,,314.02,0.49%,,
Nov 2000,367.00,7.94%,"2,552.18",-1.78%,354.00,11.32%,257.00,0.78%,769.61,1.99%,,,316.78,0.88%,,
Dec 2000,329.00,-10.35%,"2,601.72",1.94%,317.00,-10.45%,265.00,3.11%,806.79,4.83%,,,320.57,1.20%,,
Jan 2001,319.00,-3.04%,"2,624.08",0.86%,304.00,-4.10%,254.00,-4.15%,815.71,1.11%,,,304.81,-4.92%,,
Feb 2001,285.00,-10.66%,"2,552.27",-2.74%,269.00,-11.51%,240.00,-5.51%,811.08,-0.57%,,,303.78,-0.34%,,
Mar 2001,289.00,1.40%,"2,565.32",0.51%,278.00,3.35%,254.00,5.83%,780.64,-3.75%,,,327.63,7.85%,,
Apr 2001,293.00,1.38%,"2,597.95",1.27%,281.00,1.08%,251.00,-1.18%,744.85,-4.58%,,,326.01,-0.49%,,
May 2001,295.00,0.68%,"2,581.68",-0.63%,292.00,3.91%,234.00,-6.77%,727.53,-2.33%,,,295.17,-9.46%,,
Jun 2001,317.00,7.46%,"2,536.49",-1.75%,312.00,6.85%,255.00,8.97%,727.53,0.00%,,,286.89,-2.81%,,
Jul 2001,358.00,12.93%,"2,559.12",0.89%,352.00,12.82%,330.00,29.41%,723.02,-0.62%,,,421.36,46.87%,,
Aug 2001,363.00,1.40%,"2,626.91",2.65%,350.00,-0.57%,362.00,9.70%,738.07,2.08%,,,427.49,1.45%,,
Sep 2001,322.00,-11.29%,"2,736.64",4.18%,316.00,-9.71%,310.00,-14.36%,749.57,1.56%,,,385.09,-9.92%,,
Oct 2001,307.00,-4.66%,"2,842.81",3.88%,281.65,-10.87%,277.00,-10.65%,761.60,1.60%,,,373.03,-3.13%,,
Nov 2001,330.00,7.49%,"2,936.19",3.28%,318.77,13.18%,323.00,16.61%,759.59,-0.26%,,,390.69,4.73%,,
Dec 2001,339.00,2.73%,"2,847.84",-3.01%,309.19,-3.01%,359.50,11.30%,771.62,1.58%,,,396.87,1.58%,,
Jan 2002,362.00,6.78%,"2,788.69",-2.08%,328.57,6.27%,373.80,3.98%,684.39,-11.30%,,,389.18,-1.94%,,
Feb 2002,376.00,3.87%,"2,774.94",-0.49%,356.00,8.35%,352.98,-5.57%,617.29,-9.80%,423.45,-,364.92,-6.23%,578.00,-
Mar 2002,366.00,-2.66%,"2,795.62",0.75%,353.24,-0.78%,359.00,1.71%,598.92,-2.98%,415.85,-1.79%,359.21,-1.56%,557.00,-3.63%
Apr 2002,411.00,12.30%,"2,814.34",0.67%,405.00,14.65%,360.07,0.30%,590.24,-1.45%,410.77,-1.22%,370.86,3.24%,552.00,-0.90%
May 2002,420.00,2.19%,"2,820.98",0.24%,418.30,3.28%,384.91,6.90%,599.56,1.58%,414.82,0.99%,399.89,7.83%,574.00,3.99%
Jun 2002,446.00,6.19%,"2,834.26",0.47%,439.00,4.95%,426.13,10.71%,645.95,7.74%,451.04,8.73%,456.81,14.23%,595.00,3.66%
Jul 2002,445.00,-0.22%,"2,981.64",5.20%,432.61,-1.46%,422.22,-0.92%,704.52,9.07%,477.29,5.82%,489.63,7.18%,,
Aug 2002,443.00,-0.45%,"2,957.09",-0.82%,433.36,0.17%,446.09,5.65%,758.59,7.67%,521.14,9.19%,502.75,2.68%,610.00,2.52%
Sep 2002,410.00,-7.45%,"3,000.22",1.46%,414.57,-4.34%,424.76,-4.78%,794.71,4.76%,525.01,0.74%,505.67,0.58%,,
Oct 2002,434.00,5.85%,"2,987.84",-0.41%,423.09,2.06%,427.24,0.58%,816.19,2.70%,539.31,2.72%,528.57,4.53%,,
Nov 2002,457.00,5.30%,"3,012.77",0.83%,456.48,7.89%,465.02,8.84%,870.83,6.69%,593.04,9.96%,582.00,10.11%,,
Dec 2002,482.00,5.47%,"3,037.73",0.83%,489.95,7.33%,488.52,5.05%,952.00,9.32%,616.49,3.95%,591.03,1.55%,,
Jan 2003,494.00,2.49%,"3,257.01",7.22%,491.65,0.35%,486.11,-0.49%,970.03,1.89%,623.72,1.17%,540.72,-8.51%,612.00,0.33%
Feb 2003,477.00,-3.44%,"3,395.19",4.24%,472.75,-3.84%,476.95,-1.88%,"1,016.45",4.79%,585.76,-6.09%,522.43,-3.38%,595.00,-2.78%
Mar 2003,441.00,-7.55%,"3,482.40",2.57%,429.14,-9.22%,453.55,-4.91%,"1,039.32",2.25%,551.92,-5.78%,522.52,0.02%,565.00,-5.04%
Apr 2003,421.00,-4.54%,"3,463.60",-0.54%,395.23,-7.90%,443.02,-2.32%,"1,064.23",2.40%,557.22,0.96%,540.90,3.52%,578.00,2.30%
May 2003,440.00,4.51%,"3,570.42",3.08%,409.23,3.54%,453.82,2.44%,"1,147.41",7.82%,607.17,8.96%,549.24,1.54%,595.00,2.94%
Jun 2003,459.00,4.32%,"3,820.14",6.99%,435.14,6.33%,466.21,2.73%,"1,234.59",7.60%,612.27,0.84%,545.85,-0.62%,609.00,2.35%
Jul 2003,439.00,-4.36%,"3,852.84",0.86%,414.65,-4.71%,457.72,-1.82%,"1,261.43",2.17%,582.56,-4.85%,531.41,-2.65%,575.00,-5.58%
Aug 2003,421.00,-4.10%,"3,823.97",-0.75%,401.48,-3.18%,439.36,-4.01%,"1,299.68",3.03%,553.48,-4.99%,515.69,-2.96%,543.00,-5.57%
Sep 2003,431.00,2.38%,"4,007.75",4.81%,429.27,6.92%,440.91,0.35%,"1,329.79",2.32%,564.09,1.92%,558.02,8.21%,545.00,0.37%
Oct 2003,487.00,12.99%,"4,224.25",5.40%,500.70,16.64%,515.07,16.82%,"1,359.20",2.21%,615.82,9.17%,608.26,9.00%,615.00,12.84%
Nov 2003,515.00,5.75%,"4,256.22",0.76%,521.75,4.20%,548.00,6.39%,"1,388.91",2.19%,620.32,0.73%,630.62,3.68%,628.00,2.11%
Dec 2003,583.00,13.20%,"4,407.41",3.55%,583.48,11.83%,539.72,-1.51%,"1,402.33",0.97%,648.67,4.57%,637.36,1.07%,660.00,5.10%
Jan 2004,584.00,0.17%,"4,525.80",2.69%,569.45,-2.40%,527.23,-2.31%,"1,433.00",2.19%,675.49,4.13%,656.97,3.08%,689.00,4.39%
Feb 2004,642.00,9.93%,"4,669.09",3.17%,614.00,7.82%,564.13,7.00%,"1,433.00",0.00%,704.51,4.30%,682.08,3.82%,731.00,6.10%
Mar 2004,685.00,6.70%,"4,673.58",0.10%,678.70,10.54%,583.52,3.44%,"1,356.32",-5.35%,687.60,-2.40%,689.43,1.08%,712.00,-2.60%
Apr 2004,736.00,7.45%,"4,565.24",-2.32%,737.05,8.60%,575.05,-1.45%,"1,322.77",-2.47%,644.98,-6.20%,672.46,-2.46%,696.00,-2.25%
May 2004,716.00,-2.72%,"4,570.70",0.12%,724.29,-1.73%,537.17,-6.59%,"1,322.77",0.00%,700.61,8.63%,627.96,-6.62%,684.00,-1.72%
